iter	MultiClass
0	2.756245475
1	2.623322354
2	2.496474706
3	2.376404948
4	2.283781973
5	2.192961902
6	2.116278935
7	2.038514964
8	1.964904801
9	1.893164325
10	1.838215679
11	1.78598386
12	1.73263121
13	1.681582803
14	1.65539528
15	1.605089212
16	1.56018043
17	1.530091752
18	1.490224892
19	1.454373046
20	1.420168166
21	1.385340406
22	1.361268116
23	1.330858682
24	1.308432313
25	1.282559948
26	1.257448861
27	1.231952768
28	1.209134862
29	1.182340955
30	1.159332219
31	1.139105249
32	1.123436938
33	1.100540086
34	1.082377772
35	1.064217761
36	1.044890436
37	1.028730993
38	1.014180478
39	0.9984730797
40	0.988542661
41	0.9734596178
42	0.9565339815
43	0.9407419077
44	0.9268639176
45	0.9159407121
46	0.9042048882
47	0.8918485102
48	0.8762636045
49	0.864303345
50	0.8551848174
51	0.8483564693
52	0.8393151324
53	0.8276769196
54	0.820277685
55	0.8106083167
56	0.8018677493
57	0.7937322342
58	0.7852230891
59	0.7729020442
60	0.7627400624
61	0.7574289057
62	0.7493762564
63	0.7387739883
64	0.7285202677
65	0.7221976909
66	0.7150253493
67	0.7092277229
68	0.7038980768
69	0.6994631075
70	0.6948124813
71	0.6878180155
72	0.680129615
73	0.6747647476
74	0.6712242637
75	0.6631285431
76	0.6587495005
77	0.6537143356
78	0.6485823703
79	0.6427616481
80	0.6389912054
81	0.6354481854
82	0.6330177531
83	0.6303211012
84	0.6244923631
85	0.6217595059
86	0.6192202336
87	0.6132997843
88	0.6083485801
89	0.6039751405
90	0.60071259
91	0.5977587681
92	0.5946558509
93	0.5901744592
94	0.5844012044
95	0.5802638792
96	0.5761290692
97	0.5677415214
98	0.5649125529
99	0.5617314487
