iter	Passed	Remaining
0	11	1171
1	22	1106
2	33	1097
3	46	1105
4	56	1072
5	68	1078
6	80	1065
7	91	1052
8	103	1046
9	115	1039
10	126	1022
11	138	1016
12	150	1006
13	162	1000
14	173	982
15	183	964
16	195	955
17	206	940
18	217	928
19	230	920
20	241	906
21	250	889
22	262	877
23	272	861
24	282	848
25	293	836
26	304	822
27	314	809
28	325	796
29	336	785
30	349	778
31	363	771
32	374	760
33	385	748
34	397	738
35	409	727
36	420	715
37	431	703
38	442	692
39	453	680
40	465	669
41	476	658
42	486	644
43	497	632
44	507	620
45	518	608
46	531	599
47	544	590
48	556	579
49	567	567
50	579	556
51	590	545
52	600	532
53	613	522
54	626	512
55	637	500
56	649	489
57	660	478
58	670	466
59	681	454
60	692	442
61	703	431
62	714	419
63	725	408
64	736	396
65	747	385
66	759	373
67	770	362
68	780	350
69	792	339
70	803	328
71	813	316
72	824	305
73	836	293
74	847	282
75	858	271
76	869	259
77	881	248
78	893	237
79	906	226
80	917	215
81	927	203
82	938	192
83	950	181
84	962	169
85	974	158
86	985	147
87	995	135
88	1006	124
89	1016	112
90	1025	101
91	1036	90
92	1048	78
93	1058	67
94	1068	56
95	1079	44
96	1089	33
97	1101	22
98	1111	11
99	1123	0
